date,open,high,low,close,volume,symbol,daily_return,log_return,cumulative_return,price_change,hl_range,avg_price,volume_change,rolling_mean_20,rolling_std_20,rolling_volume_20,sma_10,sma_20,sma_50,sma_200,ema_10,ema_20,ema_50,rsi_14,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_bandwidth,bb_percent_b,atr_14,stoch_k,stoch_d,vwap,sma_signal,rsi_signal,macd_trade_signal,bb_signal,combined_signal
2020-01-02 05:00:00,296.4801931939895,297.71728925572063,295.5546573018844,297.6989440917969,59151200,SPY,,,,,2.1626319538362395,296.99029688313396,,,,,,,,,297.6989440917969,297.6989440917969,297.6989440917969,,0.0,0.0,0.0,,,,,,,,,296.99029688313396,0,0,0,0,0
2020-01-03 05:00:00,294.2992783946291,296.57186973652915,294.2442988268179,295.4447326660156,77709700,SPY,-0.0075721176393764855,-0.007600931669790395,-0.0075721176393764855,-2.25421142578125,2.3275709097112554,295.42030040978756,0.3137468047985501,,,,,,,,297.28908746892756,297.48425728934154,297.61054364372706,,-0.17982313368054292,-0.03596462673610858,-0.14385850694443433,,,,,,,,,296.09885195660775,0,0,0,0,0
2020-01-06 05:00:00,293.6852413275185,296.6542771958389,293.56610963371855,296.5718078613281,55653900,SPY,0.003814842746195035,0.0038075846866535575,-0.0037861613312313303,1.1270751953125,3.0881675621203613,295.5973982302952,-0.2838229976437948,,,,,,,,297.1586729948186,297.39735734381645,297.5698089071624,,-0.22875180535771733,-0.07452206246043033,-0.154229742897287,,,,,,,,,295.9538872290189,0,0,0,0,0
2020-01-07 05:00:00,296.0037318756029,296.4802588000456,295.28896945413396,295.7380065917969,40496400,SPY,-0.002811465039593841,-0.0028154246306709126,-0.00658698171060812,-0.83380126953125,1.1912893459116276,295.8357449486588,-0.2723528809301774,,,,,,,,296.900370012451,297.2393239388622,297.49797352224607,,-0.33099343794083325,-0.12581633755651092,-0.20517710038432233,,,,,,,,,295.93335458062097,0,0,0,0,0
2020-01-08 05:00:00,295.9304301191349,298.5328990962051,295.6830220422805,297.31414794921875,68296000,SPY,0.005329519109112724,0.005315367480793392,-0.0012925680463934386,1.576141357421875,2.8498770539245584,297.1766896959014,0.6864708961784258,,,,,,,,296.97560236459054,297.24645003508664,297.490764676245,,-0.28159320204554206,-0.15697171045431715,-0.1246214915912249,,,,,,,,,296.21517597431216,0,0,0,0,0
2020-01-09 05:00:00,298.8810385673999,299.4033723273358,298.2945526688361,299.3300476074219,48473300,SPY,0.006780369088077887,0.006757485765605461,0.005479036953258465,2.015899658203125,1.1088196584996695,299.0093242011979,-0.29024686658076604,,,,,,,,297.4036833178326,297.44488789911856,297.56289341864414,,-0.0788677658374013,-0.14135092153093398,0.06248315569353269,,,,,,,,,296.6023947736629,0,0,0,0,0
2020-01-10 05:00:00,299.91662000140076,300.07238613706346,298.0014236278169,298.46875,53029300,SPY,-0.002877417801207427,-0.0028815655262113995,0.002585853673588323,-0.861297607421875,2.070962509246556,298.84751992162677,0.09398988721626123,,,,,,,,297.5973318054994,297.54239857539295,297.59841720614827,,0.012153980637719997,-0.11064994109720319,0.12280392173492319,,,,,,,,,296.8979620985118,0,0,0,0,0
2020-01-13 05:00:00,299.0918985059818,300.5305679585822,298.6612065390366,300.52142333984375,47086800,SPY,0.0068773475944927664,0.006853806511367184,0.009480985082622961,2.05267333984375,1.869361419545612,299.9043992791542,-0.11206069097649785,,,,,,,,298.1289848117438,297.8261152196264,297.7130448976657,,0.247074829280848,-0.03910498702159295,0.28617981630244094,,,,,,,,,297.2126199693147,0,0,0,0,0
2020-01-14 05:00:00,300.0815191045464,301.1353314053116,299.50420569698866,300.0632019042969,62832800,SPY,-0.0015247546429616454,-0.001525918264297367,0.007941774263636736,-0.458221435546875,1.6311257083229407,300.23424633553236,0.33440369700213224,,,,,,,,298.48066064675345,298.0391710943569,297.8052079175336,,0.3917606807464722,0.04706814653202008,0.3446925342144521,,,,,,,,,297.58290738630944,0,0,0,0,0
2020-01-15 05:00:00,299.9715910397463,301.5019023922084,299.8891216822957,300.7413330078125,72056600,SPY,0.00225996089894398,0.0022574110283275516,0.010219683261884827,0.678131103515625,1.6127807099127267,300.71078569410554,0.14679912402439488,,,,298.1892395019531,,,,298.8916919851278,298.29651984801933,297.9203500779367,,0.5547499608846351,0.14860450940254308,0.406145451482092,,,,,,,,,297.96832064188254,0,0,0,0,0
