date,open,high,low,close,volume,symbol,daily_return,log_return,cumulative_return,price_change,hl_range,avg_price,volume_change,rolling_mean_20,rolling_std_20,rolling_volume_20,sma_10,sma_20,sma_50,sma_200,ema_10,ema_20,ema_50,rsi_14,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_bandwidth,bb_percent_b,atr_14,stoch_k,stoch_d,vwap,sma_signal,rsi_signal,macd_trade_signal,bb_signal,combined_signal
2020-01-02 05:00:00,150.41535275784207,152.2626224460996,149.98906197669726,152.15841674804688,22622100,MSFT,,,,,2.273560469402355,151.4700337236146,,,,,,,,,152.15841674804688,152.15841674804688,152.15841674804688,,0.0,0.0,0.0,,,,,,,,,151.4700337236146,0,0,0,0,0
2020-01-03 05:00:00,149.97954877835332,151.5236688959314,149.73323659087,150.26373291015625,21116200,MSFT,-0.012452047532986343,-0.012530223925565548,-0.012452047532986343,-1.894683837890625,1.7904323050613868,150.50687946565256,-0.0665676484499671,,,,,,,,151.81392877752128,151.97797066824776,152.08411542107078,,-0.15114287025906492,-0.030228574051812986,-0.12091429620725194,,,,,,,,,151.00503718872463,0,0,0,0,0
2020-01-06 05:00:00,148.80487615350108,150.71846465674278,148.26489736372372,150.6521453857422,20813700,MSFT,0.002584871732277394,0.0025815366971969136,-0.00989936274638592,0.3884124755859375,2.453567293019063,149.87850246873623,-0.01432549417035267,,,,,,,,151.60269543356145,151.85170159372342,152.02795973341082,,-0.23685275209325596,-0.07155340966010158,-0.16529934243315436,,,,,,,,,150.64180513237588,0,0,0,0,0
2020-01-07 05:00:00,150.92696680915566,151.25851999881914,149.03232759410693,149.27862548828125,21634100,MSFT,-0.009117161218939573,-0.009158976887459314,-0.018926269879201874,-1.3735198974609375,2.226192404712208,149.8564910270691,0.039416345964436994,,,,,,,,151.18013726169232,151.60664672653846,151.92014270419006,,-0.41087373108169345,-0.13941747394441997,-0.2714562571372735,,,,,,,,,150.44467863650686,0,0,0,0,0
2020-01-08 05:00:00,150.55740226330082,152.32889862891633,149.62903368740584,151.6562957763672,27746500,MSFT,0.015927734331078636,0.015802218999709433,-0.003299988146637456,2.3776702880859375,2.699864941510498,151.20474269756312,0.2825354417331898,,,,,,,,151.26671153708773,151.61137520747454,151.90979576584405,,-0.35286092832126315,-0.1821061648197886,-0.17075476350147453,,,,,,,,,150.6297803323349,0,0,0,0,0
2020-01-09 05:00:00,153.3141497927336,153.67413574703286,152.54682348378634,153.5509796142578,21385000,MSFT,0.012493275193036002,0.012415878191844603,0.009152059386348776,1.894683837890625,1.1273122632465231,153.257312948359,-0.22927216045266974,,,,,,,,151.6820330056641,151.796099436692,151.97415591676224,,-0.15224522480747282,-0.17613397681732545,0.023888752009852632,,,,,,,,,151.04502406259374,0,0,0,0,0
2020-01-10 05:00:00,154.24251212062987,154.6214340015497,152.68889482600636,152.84046936035156,20725900,MSFT,-0.004627194536245605,-0.004637933140094919,0.004482516490915245,-0.71051025390625,1.9325391755433259,153.3835993959692,-0.030820668693009146,,,,,,,,151.89265779742544,151.8955632389453,152.00812899298143,,-0.050011571656057185,-0.15090949578507182,0.10089792412901463,,,,,,,,,151.35563667062934,0,0,0,0,0
2020-01-13 05:00:00,153.23833928861814,154.70668685049705,152.7646797173632,154.6782684326172,21626500,MSFT,0.012024296182528982,0.011952578662587275,0.016560711779374016,1.837799072265625,1.942007133133842,154.0498783334925,0.04345287780024032,,,,,,,,152.3991324583694,152.16058278119976,152.11284034355538,,0.17726100648269494,-0.08527539533151847,0.2625364018142134,,,,,,,,,151.6835874632331,0,0,0,0,0
2020-01-14 05:00:00,154.78249955826826,154.98144297107078,153.20047806483123,153.58888244628906,23477400,MSFT,-0.007042915578038711,-0.007067833975665774,0.009401160506360862,-1.089385986328125,1.7809649062395465,153.92360116073036,0.08558481492613224,,,,,,,,152.61545063799113,152.29661132073207,152.17072434758416,,0.2664009134486207,-0.01494013357549063,0.28134104702411133,,,,,,,,,151.94503602076662,0,0,0,0,0
2020-01-15 05:00:00,154.05301501204548,155.3034830617299,154.00566062481232,154.58351135253906,21417900,MSFT,0.00647591733469266,0.006455038672546108,0.015937958979342914,0.99462890625,1.2978224369175848,154.6308850130271,-0.08772266094201231,,,,152.32513275146485,,,,152.97327985881802,152.5144113237613,152.26534344581768,,0.41254758050513374,0.07055740924063424,0.3419901712644995,,,,,,,,,152.2035005933273,0,0,0,0,0
2020-01-16 05:00:00,155.6919023520506,157.48233490143087,155.38875329683958,157.416015625,23865400,MSFT,0.01832345667191637,0.01815760505923285,0.03455345415205602,2.8325042724609375,2.093581604591293,156.76236794109016,0.11427357490697032,,,,152.85089263916015,,,,153.78104999812382,152.98123078102213,152.46733059009935,,0.7483033148282914,0.20610659035816567,0.5421967244701257,,,,,,,,,152.6450007505776,0,0,0,0,0
2020-01-17 05:00:00,158.60017747170502,158.64754632231816,156.71500707487465,158.2970428466797,34371700,MSFT,0.0055968080387607255,0.005581204103064075,0.040343651240781986,0.8810272216796875,1.9325392474435148,157.88653208129082,0.44023146479841113,,,,153.6542236328125,,,,154.60213960695214,153.48749859679904,152.69594675702407,,1.0731135025393712,0.3795079727944068,0.6936055297449644,,,,,,,,,153.286591928003,0,0,0,0,0
