date,open,high,low,close,volume,symbol
2020-01-02 00:00:00-05:00,66.91491828092151,67.92081451416016,66.8196375144199,67.92081451416016,27278000,GOOGL
2020-01-03 00:00:00-05:00,66.89456517269056,68.17240862427808,66.86081596073402,67.56549072265625,23408000,GOOGL
2020-01-06 00:00:00-05:00,67.07470353986153,69.39170027421379,67.04344557379943,69.36639404296875,46768000,GOOGL
2020-01-07 00:00:00-05:00,69.49789480129157,69.64875536577131,69.05623219302926,69.2323989868164,34330000,GOOGL
2020-01-08 00:00:00-05:00,69.21800440208847,70.06312039428155,69.10932845842892,69.72517395019531,35314000,GOOGL
2020-01-09 00:00:00-05:00,70.56333795807842,70.8983085315508,69.98173387535881,70.45714569091797,33200000,GOOGL
2020-01-10 00:00:00-05:00,70.93750709598153,71.20895460356724,70.44770820676389,70.91219329833984,26258000,GOOGL
2020-01-13 00:00:00-05:00,71.22434937620667,71.53351398026712,70.73405818738722,71.46156311035156,30730000,GOOGL
2020-01-14 00:00:00-05:00,71.46006422047215,71.5905783300735,70.85314635097474,70.99309539794922,26076000,GOOGL
2020-01-15 00:00:00-05:00,71.11369107406499,71.49878195184972,71.04620021765285,71.42037200927734,21550000,GOOGL
2020-01-16 00:00:00-05:00,71.73051821248909,71.991054234151,71.46006263409811,71.9642562866211,26080000,GOOGL
2020-01-17 00:00:00-05:00,72.57860949705164,73.47235397966993,72.28135597328935,73.4212417602539,52424000,GOOGL
2020-01-21 00:00:00-05:00,73.39544471015016,73.93537154529689,72.95924161824139,73.55673217773438,48930000,GOOGL
2020-01-22 00:00:00-05:00,73.92792510020561,74.46635262161918,73.57707565322256,73.63711547851562,28458000,GOOGL
2020-01-23 00:00:00-05:00,73.81974363908597,74.1150132847147,73.4609509628069,73.67781066894531,26650000,GOOGL
2020-01-24 00:00:00-05:00,74.08126273759932,74.1497455459025,72.61037407881075,72.75875854492188,29786000,GOOGL
2020-01-27 00:00:00-05:00,71.04023999318002,71.29034912825152,70.44274948721724,71.04966735839844,34132000,GOOGL
2020-01-28 00:00:00-05:00,71.54641358018323,72.19451657572402,70.98168030050765,71.98113250732422,29724000,GOOGL
2020-01-29 00:00:00-05:00,72.37614063669027,72.65801507586868,71.72754546979097,72.28880310058594,21566000,GOOGL
2020-01-30 00:00:00-05:00,71.36578143499277,72.2168492041988,71.21194499533239,72.16722869873047,27110000,GOOGL
2020-01-31 00:00:00-05:00,72.8426206238996,72.93244183951124,70.81791775939544,71.10177612304688,43822000,GOOGL
2020-02-03 00:00:00-05:00,72.53445127251754,73.75771451445905,72.28434210997459,73.5740966796875,71636000,GOOGL
2020-02-04 00:00:00-05:00,72.17913629710675,72.81681238861734,70.56830620024466,71.7285385131836,95880000,GOOGL
2020-02-05 00:00:00-05:00,72.63170618173763,72.67984253452366,70.94793336208039,71.76029205322266,36376000,GOOGL
2020-02-06 00:00:00-05:00,72.05457315984722,73.52248589418377,71.980138619887,73.24507904052734,37822000,GOOGL
2020-02-07 00:00:00-05:00,72.81929012242819,73.7055911376281,72.72103350779275,73.40089416503906,28360000,GOOGL
2020-02-10 00:00:00-05:00,73.30761445127459,74.87824391485704,73.206874148299,74.86732482910156,38302000,GOOGL
2020-02-11 00:00:00-05:00,75.09610172081878,75.92037918006768,74.70803495822373,74.93680572509766,34852000,GOOGL
2020-02-12 00:00:00-05:00,75.22461806580742,75.44495338113576,74.86781690908632,75.3620834350586,31042000,GOOGL
2020-02-13 00:00:00-05:00,74.93382724585919,75.7253474175751,74.63607391004925,75.10205841064453,22914000,GOOGL
2020-02-14 00:00:00-05:00,75.15862587664202,75.43255711257372,74.71298785427767,75.36705017089844,23198000,GOOGL
2020-02-18 00:00:00-05:00,75.14919769716833,75.95411300380982,74.98394241111538,75.40228271484375,25642000,GOOGL
2020-02-19 00:00:00-05:00,75.78738014912862,75.96305477198614,75.47871529345878,75.6717529296875,22746000,GOOGL
2020-02-20 00:00:00-05:00,75.38094121635825,75.78091896387954,74.64896876279927,75.28070068359375,25962000,GOOGL
2020-02-21 00:00:00-05:00,74.66484862101126,74.98096446759392,73.37013437097549,73.61676788330078,42520000,GOOGL
2020-02-24 00:00:00-05:00,70.61892109008193,71.28042685845558,69.81202186636781,70.46061706542969,49560000,GOOGL
2020-02-25 00:00:00-05:00,71.01345207622762,71.30375438851503,68.50341762530834,68.79620361328125,51580000,GOOGL
2020-02-26 00:00:00-05:00,69.22594718689604,70.15344093186029,68.31135643850625,69.00213623046875,49776000,GOOGL
2020-02-27 00:00:00-05:00,67.44738173946918,67.95653516579354,65.21921458048752,65.25444793701172,62290000,GOOGL
2020-02-28 00:00:00-05:00,63.23768312012061,66.61913096457909,62.93497008032341,66.46033477783203,80198000,GOOGL
2020-03-02 00:00:00-05:00,67.06280243372319,68.85326757659175,65.76312069292557,68.79620361328125,55430000,GOOGL
2020-03-03 00:00:00-05:00,69.35994133870133,69.8814980608443,65.96359831152199,66.3844223022461,56602000,GOOGL
2020-03-04 00:00:00-05:00,67.43845113577657,68.62052161924996,66.34868554057559,68.56196594238281,47598000,GOOGL
